task,class,gene_symbol,selected_folds,positive_fraction,median_coefficient,median_absolute_coefficient,coefficient_standard_deviation,repeat_count,selection_frequency,sign_consistency,analysis_provenance
task_a_three_class,healthy,ENC1,15,0.0,-0.8353851437568665,0.8353851437568665,0.2355918892747107,3,1.0,1.0,raw_cel_rma
task_a_three_class,adjacent_normal,CA7,15,1.0,0.3527035415172577,0.3527035415172577,0.12076802623111063,3,1.0,1.0,raw_cel_rma
task_a_three_class,tumor,CEMIP,15,1.0,0.1943487972021103,0.1943487972021103,0.060138726450695436,3,1.0,1.0,raw_cel_rma
task_a_three_class,adjacent_normal,SLC4A4,15,1.0,0.1452612727880478,0.1452612727880478,0.08787460754018453,3,1.0,1.0,raw_cel_rma
task_a_three_class,adjacent_normal,OTOP2,14,1.0,0.3134196847677231,0.3134196847677231,0.0948210427092597,3,0.9333333333333333,1.0,raw_cel_rma
task_a_three_class,tumor,CLDN1,14,1.0,0.10053298994898796,0.10053298994898796,0.06055839997682774,3,0.9333333333333333,1.0,raw_cel_rma
task_a_three_class,tumor,ETV4,14,1.0,0.10000016167759895,0.10000016167759895,0.05356862417594778,3,0.9333333333333333,1.0,raw_cel_rma
task_a_three_class,tumor,GTF2IRD1,14,1.0,0.0883379764854908,0.0883379764854908,0.050372233243823526,3,0.9333333333333333,1.0,raw_cel_rma
task_a_three_class,adjacent_normal,FOXQ1,13,0.0,-0.2571024000644684,0.2571024000644684,0.14656759006960635,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,adjacent_normal,GTF2IRD1,13,0.0,-0.24135392904281616,0.24135392904281616,0.1367385162873449,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,healthy,ABCG2,13,1.0,0.22714491188526154,0.22714491188526154,0.13508890736272575,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,healthy,GRAMD2B,13,1.0,0.20355182886123657,0.20355182886123657,0.08803124582983882,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,tumor,PACC1,13,1.0,0.19708822667598724,0.19708822667598724,0.06679104512924794,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,tumor,FOXQ1,13,1.0,0.12943492829799652,0.12943492829799652,0.0565276184821324,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,tumor,ENC1,13,1.0,0.12085334211587906,0.12085334211587906,0.05594736930880369,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,tumor,OTOP2,13,0.0,-0.061400458216667175,0.061400458216667175,0.034412414717197484,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,tumor,CA7,13,0.0,-0.053795184940099716,0.053795184940099716,0.03851294749538296,3,0.8666666666666667,1.0,raw_cel_rma
task_a_three_class,healthy,TGIF2,12,0.0,-0.24700132757425308,0.24700132757425308,0.09275976462449596,3,0.8,1.0,raw_cel_rma
task_a_three_class,adjacent_normal,ETV4,12,0.0,-0.1824873983860016,0.1824873983860016,0.15757432589474424,3,0.8,1.0,raw_cel_rma
task_a_three_class,healthy,UGP2,12,1.0,0.16038450598716736,0.16038450598716736,0.1789229315497243,3,0.8,1.0,raw_cel_rma
task_a_three_class,adjacent_normal,PACC1,12,0.0,-0.14878025650978088,0.14878025650978088,0.08647915008584653,3,0.8,1.0,raw_cel_rma
